,Title,Type/Region,Date,Author,Content
116,"Donald Sterling slams Magic Johnson, cites HIV status",Chicago Bulls,2014-05-12T22:21:00CDT,"Shelby Grad, Tribune newspapers","Los Angeles Clippers owner Donald Sterling lashed out at Magic Johnson during a CNN interview  broadcasted Monday night, alluding to the NBA’s great’s HIV-positive diagnosis and saying, “I don’t think he’s a good example for the children of Los Angeles.” Sterling’s comments came as he addressed..."
117,Blocking HIV,News,2005-04-23T00:00:00CDT,"Shelly M. Ebbert, Associate director, AIDS Foundation of Chicago","Currently the only 100 percent effective way to prevent the transmission of HIV is to abstain from behaviors that transmit the virus, such as having unprotected sex and sharing dirty needles. But for many women around the world, abstaining from sex is not a simple or available option. To adequately..."
118,"JJC Drag Show to Raise Awareness, Funds for HIV/AIDS Nov. 21",Joliet & Romeoville Community,2014-11-13T13:32:53CST,Community Contributor Joliet Junior College,"The Office of Student Activities at Joliet Junior College will host a World AIDS Day Drag Show to benefit local HIV/AIDS organizations on Friday, Nov. 21 from 7 to 11 p.m. at the Fine Arts Theatre, located on the Main Campus, 1215 Houbolt Road in Joliet. Admission is $8 per person, with all proceeds..."
119,HIV testing,News,2006-09-27T00:00:00CDT,Pam Eberlin,I know that the Centers for Disease Control and Prevention did not take into consideration the large question of health insurance in its latest recommendation. How does it plan to provide medical care or insurance to the thousands of people who will be denied any kind of health coverage because...
120,REPORTING HIV,News,1998-02-17T00:00:00CST,"Dr. Thomas Erwin Gertz, Clinical sexologist Past president, American Association of Sex Educators, Counselors & Therapists","I fully support your Feb. 9 editorial urging the Illinois Department of Health to establish a reporting system for individuals testing positive for HIV.As an HIV/AIDS activist and one who has worked in the front lines of this epidemic since 1982 in Ohio, where HIV is a reportable condition to the..."
121,Brown asks Pence to expand needle program,Post-Tribune News,2015-03-26T17:32:00CDT,Christin Nance Lazerus,"An HIV outbreak in Southern Indiana caused Gov. Mike Pence to declare a health emergency on Thursday and authorize a needle-exchange program — a strategy a local legislator says should be instituted in Lake and Marion counties as well. Scott County, a rural area about 30 miles north of Louisville,..."
122,TREATING HIV,News,1999-03-26T00:00:00CST,"Michael Cook, Chairman,Charles A. Hoag, President and CEO, Chicago House","The good news on the HIV front, as reported by Cindy Richards in (""Hospice's closing may be sign of hope,"" Page 1, Feb. 22), is that the new drug therapies allow many infected with HIV to live longer and better lives. But this very welcome development has resulted in an increase, rather than a..."
123,HIV GRANT,News,2000-03-01T00:00:00CST,"Nicole Lynch, VaxGen Inc","In response to Jeremy Manier's ""Possible conflict seen in grant on HIV vaccine tests,"" Dr. Donald P. Francis, president of VaxGen Inc., has pointed out some misperceptions contained in the story, including:None of the $8 million research grant from the Centers for Disease Control and Prevention..."
124,HIV LAW,News,1997-07-29T00:00:00CDT,"Victor Chen, Knight-Ridder/Tribune Newspapers","For several years, Scott Gillen's routine became Paul Crockett's: every day easing his partner onto a couch in their Miami Beach home and helping him to take the 15 assorted medications that fought his AIDS.When Gillen died last year, Crockett found solace in art, letting his anguish dissolve into..."
125,LIVING WITH HIV,News,2007-11-27T00:00:00CST,"Alexia Elejalde-Ruiz, RedEye",Rates of infection remain steadily high in the gay community -- in Chicagoland and across the nation
126,AVOIDING HIV,News,1994-01-22T00:00:00CST,Charlie Mehler,"It is beyond belief that the Tribune printed under Joan Beck's byline as part of a condom safety piece on Jan. 9: ""Abstinence is the safest (way to avoid AIDS infection). So is a heterosexual, monogamous relationship . . ..""What about a pair of monogamous, lifelong lesbians? These women are least..."
127,BATTLING HIV,News,1995-10-18T00:00:00CDT,Compiled by Richard Wronski,CITIES TOLD: ISSUE NEEDLES TO JUNKIES
128,Health Department Offers Free Screenings and Other Activities on Feb. 7 in Observance of National Black HIV/AIDS Awareness Day,Lake County Community,2014-01-27T12:28:00CST,"Posted By Lake County Health Department, Community Contributor","The public is invited to join the Lake County Health Department/Community Health Center for the 14th annual observance of National Black HIV/AIDS Awareness Day (NBHAAD) on Friday, February 7. A free event will take place in the lobby of the Health Department’s Belvidere Medical Building, 2400 Belvidere..."
129,THE HIV LIFE,News,2004-12-01T00:00:00CST,"Kathryn Masterson, RedEye","2 Chicagoans share their stories, challenges of living with the virus that causes AIDS"
130,FYI ON HIV,News,1995-11-17T00:00:00CST,Michael W. Tuck,"I am writing to correct your frequent use of the term ""HIV virus"" (""Panel backs new AIDS drug,"" Nov. 7).""HIV"" means human immuno-deficiency virus, so to say ""HIV virus"" is redundant; all you need use is HIV. You would not allow your sports writers to refer to ""RBI run"" or your news writers to discuss..."
131,HIV AND TRANSPLANTS,News,1997-09-17T00:00:00CDT,"Lisa M. Krieger, San Francisco Examiner","In a move that other medical centers challenge on medical and moral grounds, University of California-San Francisco Medical Center is offering organ transplants to people with the AIDS virus.All the other transplant centers in the nation, except the University of Pittsburgh Medical Center, has..."
132,"Viruses: Influenza, HIV, XMRV",Health,2011-05-17T12:00:00CDT,None,"Join us at noon CT (1 p.m. ET/10 a.m. PT) on Tuesday, May 17, for an hour-long chat about viruses, with the Tribune's health reporter Trine Tsouderos and panelist Dr. Vincent Racaniello. Viruses are in the news all of the time. The flu hits, we hear about it. H1N1 hits, we really hear about it...."
133,Illinois encourages testing for HIV,News,2010-06-26T03:03:54CDT,None,"Illinois officials want people to get tested for HIV. The Illinois Department of Public Health is sponsoring a number of events across the state this month so people can get tested for the virus that causes AIDS. Sunday is National HIV Testing Day.Officials say Illinois has had more than 41,000..."
134,Man gets 8 years for robbing Naperville CVS with syringe,Naperville Crime,2017-09-29T15:57:00CDT,Bill Bird,"A man who used what he said was an HIV-tainted syringe to steal more than $2,600 worth of drugs from a Naperville CVS was sentenced Friday to eight years in prison, DuPage County court records said. Sanjay Malhotra, 50, of Chicago, found guilty of armed robbery, a Class X felony, in the Nov. 15,..."
135,Changespossible for HIV tests,News,2007-05-01T00:00:00CDT,NEWS SERVICES,"Doctors in Illinois may no longer have to get written consent from patients in order to give them HIV tests, under a controversial state bill that's part of a national effort to make HIV testing more routine. Supporters of the bill, which could come to a vote in the state House this week, say it..."
136,GROWING UP WITH HIV,News,2008-05-11T00:00:00CDT,GIOVANNA BREUGiovanna Breu is a Chicago freelancer who writes on medical issues,Growing up with HIV
137,"In newly surfaced Howard Stern interview, Trump joked about giving Princess Di an HIV test",National politics,2017-09-25T20:07:00CDT,Emily Heil,"On Monday, newly surfaced transcripts and audio of radio host Howard Stern's interviews with Donald Trump presented a fuller picture of their many conversations on Stern's talk show before Trump's political aspirations turned serious. The shock jock and the future president's banter was filled..."
138,Transplant recipients contract HIV,News,2007-11-13T00:00:00CST,NEWS SERVICES,Four transplant recipients in Chicago contracted HIV from a high-risk organ donor whose infection went undetected in what hospital officials say is the first documented case of the virus being transmitted by organ donation in the U.S. in more than 20 years.The transplants occurred in January at...
139,"On World AIDS Day, pass this on",Rex Huppke,2015-11-30T12:10:00CST,Rex Huppke,"Tuesday is World AIDS Day. There's a good chance you weren't aware of that. I wouldn't have been if someone hadn't contacted me about it and shared some interesting information on a drug that isn't getting enough attention, a drug that some believe can play a key role in eradicating the HIV and..."
140,A routine HIV test,News,2006-10-07T00:00:00CDT,None,"When your doctor draws blood for testing, she generally doesn't tick off the entire list of tests that will be done. Maybe you're concerned about your cholesterol. Maybe it's something more serious--an STD or diabetes. A complete blood workup may encompass a dozen or more tests. But in Illinois..."
141,People with HIV find shelter,News,2010-06-02T00:00:00CDT,Helene Van Sickle,People with HIV find shelter
142,Open Door Clinic opens a new headquarters in Elgin,Elgin News,2015-06-20T13:54:00CDT,Dave Gathman,"For 37 years, the Open Door Clinic was up on the sixth floor of the old Professional Building in downtown Elgin, giving the people who came to it for help with syphilis, gonorrhea, chlamydia and HIV/AIDS a low-profile place to seek treatment. But as Open Door celebrated the grand opening of a much..."
143,"A doctor, an HIV diagnosis and a dog",News,2014-04-14T00:00:00CDT,Dawn Turner Trice,"A doctor, an HIV diagnosis and a dog"
144,HIV compromise wins support,News,2003-04-20T00:00:00CDT,"Shia Kapos, Tribune staff reporter",State bill to aid newborns moves forward
145,Circumcision touted vs. HIV,News,2005-09-25T00:00:00CDT,Items compiled from Tribune news services,"A South African AIDS expert Saturday advocated male circumcision as the best available ""vaccine"" against the virus in his country, where an estimated 6 million people are infected and more than 600 people die every day.Francois Venter told a congress of health activists in the Treatment Action..."
146,Emerging face of HIV,News,2004-03-28T00:00:00CST,"Dahleen Glanton, Tribune national correspondent",Fear of discovery adds to burden
147,Research: Africans vulnerable to HIV,News,2008-07-17T00:00:00CDT,"Thomas H. Maugh II and Karen Kaplan, TRIBUNE NEWSPAPERS: Los Angeles Times",Study says mutation boosts susceptibility
148,ALL ABOUT HIV/AIDS,News,1994-12-04T00:00:00CST,Sharon Honecker. Special to the Tribune,"A conference this week devoted exclusively to the impact of HIV/AIDS on the African-American family is an attempt to explore the issues and break down barriers.Co-sponsored by the Cook County Hospital's Women and Children HIV Program, the conference, ""HIV/AIDS and the African-American Family: The..."
149,Mining HIV experience,News,2004-09-15T00:00:00CDT,"Connie Lauerman, Tribune staff reporter","Evanston writer works through her AIDS diagnosis with memoir, short stories"
150,How to get tested for HIV,Home,2010-06-27T00:00:00CDT,None,How to get tested for HIV
151,Coming to terms with blood donations and men who sleep with men,Commentary,2016-07-12T16:30:00CDT,Kayla Simon,"As scores lay injured in Florida hospitals after the Orlando shooting, potential donors inundated blood banks, offering what they could. For some, however, the hourslong wait ended in disappointment. The U.S. Food and Drug Administration has strict guidelines about who can donate blood; among those..."
152,Church tailors message on HIV,News,2007-12-03T00:00:00CST,"Tara Malone, Tribune staff reporter",Spanish-language film part of outreach
153,"Needle exchange, HIV, and the feds",Home,2011-12-16T00:00:00CST,Steve Chapman,"Needle exchange, HIV, and the feds"
154,Virus apes HIV in chimps,News,2009-07-23T00:00:00CDT,"William Mullen, Tribune reporter",HIV in chimps: Study finds chimps aren't immune to AIDS as once thought
155,U.S. health regulators approve Alere's HIV test,News,2013-08-08T00:00:00CDT,Reuters,U.S. health regulators approve Alere's HIV test
156,Student's HIV charge detailed,News,2002-04-27T00:00:00CDT,"Amy E. Nevala, Tribune staff reporter","Athlete learned of infection month ago, officials say"
157,"Needle exchange, HIV, and the feds",Steve Chapman,2011-12-16T16:10:00CST,Steve Chapman,"Going back to the 1980s, the federal government has been spending money to combat the spread of HIV and AIDS. For most of that time, the effort excluded state and local programs to provide drug users with clean syringes -- even though study after study proved they were highly effective.  Given..."
158,Cicero cop charged in HIV case,The Doings La Grange,2013-03-15T00:00:00CDT,"Deanese Williams-Harris, Chicago Tribune reporter",Cicero cop charged in HIV case
159,Testing mothers for HIV,News,2003-04-28T00:00:00CDT,Dennis Byrne. Dennis Byrne is a Chicago-area writer and public affairs consultant,"If you're blind to the human tragedy in all this, then just consider the cost factors"
160,AIDS at 30: Apathy plus HIV kills,Home,2014-04-24T00:00:00CDT,Nathalia Holt,AIDS at 30: Apathy plus HIV kills
161,HIV HOME TEST OK'D,News,1996-05-28T00:00:00CDT,None,"The Food and Drug Administration recently OK`d the first at-home test kit for HIV, the virus that causes AIDS.The kit, called Confide HIV Testing Service, has three parts. The tester gives a small drop of blood using the collection kit, then sends it to a certified lab for HIV testing. Then the..."
162,Ignorance abounds over HIV,News,2002-05-15T00:00:00CDT,Pauline Phillips and Jeanne Phillips,"Dear Abby: I am a 33-year-old HIV-positive man. Last week at my office, I was shocked when two of my co-workers declared that they could tell whether or not people are HIV-positive just by looking at them.Abby, this is no laughing matter. Please inform your readers that someone can be HIV-positive..."
163,FDA APPROVES HIV MEDICINE,News,1994-08-09T00:00:00CDT,None,"Roche Holding Ltd.'s Hoffmann-La Roche Inc. said its HIVID, a treatment for HIV patients also known as ddC, was approved for marketing by the U.S. Food and Drug Administration."
164,Five faces of life with HIV,News,2010-11-28T00:00:00CST,"Julia Edwards, Special to the Tribune",Five faces of life with HIV
165,GI accused of spreading HIV,News,2007-07-18T00:00:00CDT,NEWS SERVICES,"Military and civilian authorities have charged an HIV-positive soldier in Raleigh, N.C., with assault with a deadly weapon, accusing him of having unprotected sex with a partner he didn't tell about the infection. Pfc. Johnny Lamar Dalton, 25, was arrested last week; he also faces civilian charges..."
166,BATTLING HIV/AIDS,News,1995-08-28T00:00:00CDT,"Thomas E. Buchanan, Executive director, Horizons","As the executive director of Horizons Community Services, I would like to express my strong support for the recommendations made by the Presidential Advisory Council on HIV/AIDS and for the work of Robert L. Fogel, the only member of the council from the Chicago area.Mr. Fogel's commitment to helping..."
167,Sect embraces HIV-positive,News,2001-07-11T00:00:00CDT,"Hoping to offer solace and instruction, Santeria leaders have become AIDS activists, correspondent Vanessa Bauza writes. Vanessa Bauza is a South Florida Sun-Sentinel correspondent based in Havana","Santeria, the synthesis of West African rituals and Roman Catholic saints, was shunned in Cuba for many years.Today, however, a small group of AIDS activists is hoping to use its ancient Yoruba traditions and legends to stop the spread of a modern-day disease.Carlos Alejandro Diaz Martin, an HIV-positive..."
168,RURAL AIDS-HIV INCREASES,News,1996-01-16T00:00:00CST,Compiled by Gary Borg,"Rural areas of Indiana, once far removed from big-city concerns, are facing a rise in the number of HIV and AIDS cases, a trend some ascribe to inadequate health education and small-town pressures.According to the Rural Center for the Study and Promotion of HIV/STD Prevention at Indiana University,..."
169,Homes sought for kids with HIV,News,2010-01-06T00:00:00CST,"Jennifer Grant, SPECIAL TO THE TRIBUNE",Adoption agency helps place children with HIV
170,"Poverty, HIV swamp women",News,2002-12-11T00:00:00CST,"Connie Lauerman, Tribune staff reporter. Tribune news services contributed to this report","The United Nations Population Fund's ""State of the World's Population 2002"" report shows that poverty, gender inequality, poor health and HIV/AIDS infection are hitting women hard.More women than men live in poverty, and the disparity has increased over the past decade, particularly in developing..."
171,Patients' spread of HIV probed,News,2007-11-14T00:00:00CST,"Jeremy Manier, Tribune staff reporter",Organ patients' spread of HIV probed
172,HIV `MAGIC BULLET' ELUSIVE,News,1996-03-31T00:00:00CST,Bloomberg Business News,BUT DRUGMAKERS STRIVE TO FIND BEST MIX OF THERAPIES
173,Pageant showcases women with HIV,News,2003-09-08T00:00:00CDT,Items compiled from Tribune news services,"Donning shimmering evening gowns and traditional Botswana costumes of animal-skin skirts, 14 women competed in a beauty pageant for HIV-positive women and their relatives.About 38 percent of Botswana's people are HIV-positive, the highest infection rate in the world. Infected people often are ostracized,..."
174,$2.5 million for HIV fight,News,2005-09-16T00:00:00CDT,"Erika Slife, Tribune staff reporter","Education, testing efforts to target blacks"
175,Battling the legacy of HIV,News,2006-10-20T00:00:00CDT,"Jeremy Manier, Tribune staff reporter",Family scarred by the AIDS virus for two decades hopes medical advances can keep a new baby free from the curse that plagues her mom and grandma
176,EXPERIMENTAL VIRUSES ATTACK HIV,News,1997-09-04T00:00:00CDT,None,"Scientists have created the first virus-killing viruses, cleverly crafted microscopic missiles that zero in on AIDS-infected cells and destroy them. The idea is to fight infection with infection. The newly created viruses target only cells that have already been captured by HIV. The approach works..."
177,HIV POSITIVE AT 52,News,1999-11-24T00:00:00CST,"Karen Garloch, Charlotte Observer","Claire is a fake name but the woman is real, a 52-year-old grandmother.She lives in a Charlotte, N.C., apartment with two fluffy cats, dozens of family photos framed in silver and three bottles of pills that keep her HIV infection from progressing to AIDS.She's unwilling to be identified--worried..."
178,Officer with HIV sues village,News,2002-10-11T00:00:00CDT,"Kevin Lynch and Virginia Groark, Tribune staff reporters","Westmont unfairly turned him down for job, suit says"
179,PHARMACIA HIV TREATMENT OKD,News,1997-04-08T00:00:00CDT,Compiled by Jacqueline Fitzgerald,"Pharmacia & Upjohn Inc., the company formed from the 1995 merger of Sweden's Pharmacia AB and Upjohn Co. of Kalamazoo, Mich., said U.S. drug authorities approved Rescriptor. The anti-HIV treatment gives the firm its first access to the estimated $1.4 billion market for AIDS treatments. The Swedish-American..."
180,HIV prevention ad campaign ends,Home,2010-05-14T00:00:00CDT,Dawn Turner Trice,HIV prevention ad campaign ends
181,BOY'S HIV TREATMENT DELAYED,News,1997-03-06T00:00:00CST,Tribune News Services,"A computer glitch is being blamed for a delay in AIDS-prevention treatments for a 6-year-old boy who accidentally pricked his finger on a hypodermic needle.The treatment began Tuesday, but the boy's mother said health officials told her the drugs might be ineffective because of the six-day delay...."
182,County jail to expand HIV testing,News,2012-08-28T00:00:00CDT,"Naomi Nix, Chicago Tribune reporter",County jail to expand HIV testing
183,HIV-A LIFE SENTENCE,News,1992-06-12T00:00:00CDT,"Nancy Wartik, (copyright) 1992, American Health Magazine Service/ Washington Post Writers Group","''Five years ago I was telling healthy people there was no medical reason to be tested as long as they were practicing safe sex, since we couldn`t do anything about HIV infection,'' says Dr. Jeffrey Laurence, director of the Laboratory for AIDS Virus Research at Cornell University Medical College..."
184,MASONIC HIV TESTS NEGATIVE,News,1991-08-07T00:00:00CDT,Charles Mount,"Three people at Illinois Masonic Hospital who feared they may have come into contact with medical instruments previously used on patients infected with the HIV virus have tested negative for the virus in preliminary examinations, their attorneys disclosed Tuesday.Robert Bingle, attorney for a 33-year-old..."
185,AIDS/HIV RESEARCH.,News,1993-06-19T00:00:00CDT,David B. McCurdy,I am writing to commend the Tribune for continuing to run John Crewdson's ongoing reports on the AIDS/HIV research story involving Dr. Gallo and NIH. I find it a real public service that your paper takes the time and space to make this blend of information and interpretation about such a complex...
186,HIV TEST TRAUMA,News,1993-06-17T00:00:00CDT,"Tabitha Troughton, London Observer Service","We sat-a motley collection of British middle-aged city types, gay men, straight men, girls in hippie student gear, boys with macho razored haircuts-and we worried about death. We had nothing in common apart from that, and it wasn't enough. We sat in silence.Waiting for the results of the HIV test..."
187,"Black churches tackle poverty, HIV",News,2009-11-13T00:00:00CST,"Lolly Bowean, TRIBUNE REPORTER",Ministers spotlight health problems
188,WRONG MESSAGE ON HIV?,News,1996-02-19T00:00:00CST,"Sam Smith, Tribune Pro Basketball Writer",SOME SAY MAGIC'S RETURN ENCOURAGES IRRESPONSIBILITY
189,Spreading HIV should be crime,News,2005-03-25T00:00:00CST,Jeanne Phillips,"Dear Abby: I am an HIV counselor in Chicago, and I'm extremely concerned about the number of clients I counsel who have cheated on their partners. These are people being tested because they're afraid they have HIV, and yet they actively choose not to protect their partners. The usual response I..."
190,Teen with HIV alleges bias,News,2001-09-03T00:00:00CDT,None,A 16-year-old girl who was born with the AIDS virus has filed a discrimination complaint against her first employer alleging she was fired because of her illness.Korrin Krause worked only one day as a grocery bagger at Quality Foods IGA before the manager called her mother to verify she had HIV...
191,U.S.-backed HIV vaccine fails; study halted,Home,2013-04-25T00:00:00CDT,Julie Steenhuysen,U.S.-backed HIV vaccine fails; study halted
192,HOME HIV TEST ON MARKET,News,1996-07-25T00:00:00CDT,None,"Home Access Health Corp. of Hoffman Estates has begun national sales of its at-home test for HIV, which the U.S. Food and Drug Administration approved this week. Home Access, which developed the tests, known as Home Access Express and Home Access, also provides 24-hour, seven-day-a-week counseling...."
193,Study: Marijuana relieves HIV pain,News,2007-02-13T00:00:00CST,Items compiled from Tribune news services,Smoking marijuana eased HIV-related pain in some patients in a small study that represented one of the few rigorous attempts to find out its medicinal benefits.The Bush administration's Office of National Drug Control Policy quickly sought to shoot holes in the experiment conducted at San Francisco...
194,Access to HIV drug ordered,News,2001-12-16T00:00:00CST,"Henri E. Cauvin, New York Times News Service",South Africa judge rules on side of pregnant women
195,4 organ patients get HIV,News,2007-11-13T00:00:00CST,"Jeremy Manier, Tribune staff reporter",4 transplant recipients get HIV from donor
196,"HIV, the virus that causes AIDS, is...",News,1997-07-25T00:00:00CDT,None,"HIV, the virus that causes AIDS, is not spread through casual social contact."
197,"HIV travel, immigration ban to end",News,2009-10-31T00:00:00CDT,Tribune news services,"President Barack Obama said Friday the U.S. will overturn a 22-year-old travel and immigration ban against people with HIV early next year.The order will be finalized Monday, Obama said, completing a process begun during the Bush administration.The U.S. has been among a dozen countries that bar..."
198,HIV-test bill raises fears,News,2007-05-01T00:00:00CDT,"Jeremy Manier, Tribune staff reporter",Patient's written OK would be waived
199,COURT WILL HEAR HIV CASE,News,1999-12-22T00:00:00CST,Tribune News Services,"The Missouri Court of Appeals has agreed to hear oral arguments in the case of a man convicted last year of injecting his son with the AIDS virus.Brian Stewart's hearing was set for Feb. 3 at Washington University in St. Louis.Stewart, 33, formerly of Columbia, Ill., was convicted last December..."
